USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root      1097  0.0  0.0      0     0 ?        S<   19:33   0:00 [kconservative]
root      1123  0.0  0.0  15604   668 ?        Ss   19:33   0:00 /usr/sbin/irqbalance
101       1158  0.0  0.0  63272  2688 ?        Ss   19:33   0:02 /bin/dbus-daemon --system
root      2028  0.0  0.0   9876  3436 ?        S    19:33   0:00 /sbin/dhclient6 -6 -cf /var/lib/dhcp6/dhclient6.eth0.conf -lf /var/lib/dhcp6/dhclient6.eth0.lease -pf /var/run/dhclient6.eth0.pid -q eth0
root      2564  0.0  0.0   8260   128 ?        Ss   19:33   0:00 /sbin/dhcpcd --netconfig -L -E -c /etc/sysconfig/network/scripts/dhcpcd-hook -t 0 -h linux-labs eth0
root      3555  0.0  0.0  58632  1352 ?        Ss   19:33   0:00 /usr/sbin/sshd -o PidFile=/var/run/sshd.init.pid
avahi     3665  0.0  0.0  64804  2924 ?        S    19:33   0:00 avahi-daemon: running [linux-labs.local]
root      3740  0.0  0.0 128176  1372 ?        Sl   19:33   0:00 /sbin/rsyslogd -c 5 -f /etc/rsyslog.conf
root      3766  0.0  0.0  21056   584 ?        S<sl 19:33   0:00 /sbin/auditd -s disable
root      3769  0.0  0.0      0     0 ?        S    19:33   0:00 [kauditd]
root      3823  0.0  0.0  16716   940 ?        Ss   19:33   0:00 /sbin/rpcbind
root      3840  0.0  0.0  28716   740 ?        Ss   19:33   0:00 /usr/bin/kdm
root      3846  0.0  0.0   3968   240 ?        Ss   19:33   0:00 /usr/sbin/nscd
root      3893  0.0  0.0  52016  1380 ?        S<   19:33   0:00 /sbin/udevd --daemon
root      3895 13.8  0.4 163976 36308 tty7     Ss+  19:33   9:15 /usr/bin/Xorg -br :0 vt7 -nolisten tcp -auth /var/lib/xdm/authdir/authfiles/A:0-3Djgdc
root      3957  0.0  0.0  53500  2820 ?        Ss   19:33   0:00 /usr/lib/postfix/master
root      4039  0.0  0.0  13388   976 ?        Ss   19:33   0:00 /usr/sbin/cron
postfix   4058  0.0  0.0  20532  1340 ?        S    19:33   0:00 pickup -l -t fifo -u
postfix   4059  0.0  0.0  20788  1880 ?        S    19:33   0:00 qmgr -l -t fifo -u
root      4060  0.0  0.0 105876  3976 ?        S    19:33   0:00 -:0         
root      4073  0.0  0.0  18604  1096 ?        S    19:33   0:00 /usr/sbin/smartd
root      4200  0.0  0.0   4240   776 tty1     Ss+  19:33   0:00 /sbin/mingetty --noclear tty1
root      4201  0.0  0.0   4240   780 tty2     Ss+  19:33   0:00 /sbin/mingetty tty2
root      4202  0.0  0.0   4240   776 tty3     Ss+  19:33   0:00 /sbin/mingetty tty3
root      4203  0.0  0.0   4240   780 tty4     Ss+  19:33   0:00 /sbin/mingetty tty4
root      4204  0.0  0.0   4240   776 tty5     Ss+  19:33   0:00 /sbin/mingetty tty5
root      4205  0.0  0.0   4240   780 tty6     Ss+  19:33   0:00 /sbin/mingetty tty6
root      5285  0.0  0.0 124876  3668 ?        Sl   19:34   0:00 /usr/sbin/console-kit-daemon --no-daemon
root      5354  0.0  0.0 148592  5436 ?        Sl   19:34   0:00 /usr/lib/polkit-1/polkitd
MBJUNIOR  5366  0.0  0.0  12836  1720 ?        Ss   19:34   0:00 /bin/sh /usr/bin/startkde
MBJUNIOR  5491  0.0  0.0  15764   832 ?        S    19:34   0:00 dbus-launch --sh-syntax --exit-with-session
MBJUNIOR  5492  0.0  0.0  20880  1984 ?        Ss   19:34   0:00 /bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
root      5499  0.0  0.0   3812    80 ?        S    19:34   0:00 /usr/lib64/kde4/libexec/start_kdeinit +kcminit_startup
MBJUNIOR  5500  0.0  0.2 273620 20624 ?        Ss   19:34   0:00 kdeinit4: kdeinit4 Running...                  
MBJUNIOR  5501  0.0  0.1 280100 11260 ?        S    19:34   0:00 kdeinit4: klauncher [kdeinit] --fd=9           
MBJUNIOR  5503  0.0  0.3 687240 27188 ?        Sl   19:34   0:00 kdeinit4: kded4 [kdeinit]                      
MBJUNIOR  5510  0.0  0.1 267192 14588 ?        S    19:34   0:00 /usr/bin/bluedevil-monolithic
MBJUNIOR  5511  0.0  0.2 379440 17920 ?        S    19:34   0:00 kdeinit4: kglobalaccel [kdeinit]               
MBJUNIOR  5513  0.0  0.2 381108 16696 ?        S    19:34   0:00 kdeinit4: kwalletd [kdeinit]                   
root      5515  0.0  0.0 142656  4024 ?        Sl   19:34   0:00 /usr/lib/upower/upowerd
MBJUNIOR  5518  0.0  0.0   3948   296 ?        S    19:34   0:00 kwrapper4 ksmserver
MBJUNIOR  5521  0.0  0.2 455236 17904 ?        Sl   19:34   0:00 kdeinit4: ksmserver [kdeinit]                  
MBJUNIOR  5554  1.1  0.5 512200 46892 ?        Sl   19:34   0:45 kwin -session 10146109dad6000139345395700000056990000_1400719867_374904
root      5561  0.0  0.0 127380  3784 ?        Sl   19:34   0:00 /usr/lib/udisks/udisks-daemon
root      5562  0.0  0.0  45012   788 ?        S    19:34   0:00 udisks-daemon: polling /dev/sr0
MBJUNIOR  5571  0.0  0.2 266644 17284 ?        S    19:34   0:00 /usr/bin/kactivitymanagerd
MBJUNIOR  5575  1.8  0.3 705816 28224 ?        Rl   19:34   1:14 /usr/bin/knotify4
MBJUNIOR  5578  0.1  0.6 711128 55868 ?        Sl   19:34   0:06 kdeinit4: plasma-desktop [kdeinit]             
MBJUNIOR  5584  0.0  0.1 224140 12776 ?        S    19:34   0:00 /usr/bin/kuiserver
